Year,Area Name,All ages,Not Stated,0 up to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 and over
1999,Midlothian,962,1,90,157,292,294,119,9
1999,Moray,973,0,61,160,362,284,93,13
1999,Na h Eileanan Siar,265,1,15,32,87,85,37,8
1999,North Ayrshire,"1,414",0,154,274,409,389,163,25
1999,North Lanarkshire,"3,859",2,353,710,"1,205","1,142",388,59
1999,Orkney Islands,188,0,13,36,59,58,17,5
1999,Perth and Kinross,"1,372",8,103,205,359,474,188,35
1999,Renfrewshire,"1,980",0,168,324,596,602,251,39
1999,Scottish Borders,"1,054",1,59,139,321,368,141,25
1999,Shetland Islands,284,0,12,42,102,85,33,10
1999,South Ayrshire,"1,036",0,93,186,282,316,136,23
1999,South Lanarkshire,"3,342",2,262,554,"1,006","1,013",435,70
1999,Stirling,882,1,62,135,238,268,161,17
1999,West Dunbartonshire,"1,051",0,104,193,307,314,124,9
1999,West Lothian,"1,996",0,184,360,614,604,204,30
2000,Scotland,"53,076",49,"4,599","8,962","14,676","16,233","7,395","1,162"
2000,Aberdeen City,"2,088",0,169,336,585,659,297,42
2000,Aberdeenshire,"2,320",3,124,324,761,749,321,38
2000,Angus,"1,049",1,101,183,306,310,126,22
2000,Argyll and Bute,792,1,51,128,244,208,131,29
2000,City of Edinburgh,"4,643",0,355,611,"1,051","1,551",904,171
2000,Clackmannanshire,490,0,61,97,127,139,55,11
2000,Dumfries and Galloway,"1,369",0,151,236,393,391,168,30
2000,Dundee City,"1,462",1,186,329,419,330,168,29
2000,East Ayrshire,"1,228",2,143,253,379,305,136,10
2000,East Dunbartonshire,972,0,49,89,219,375,206,34
2000,East Lothian,"1,013",0,65,133,294,337,157,27
2000,East Renfrewshire,931,0,35,81,221,378,191,25
2000,Falkirk,"1,555",0,121,293,457,495,157,32
2000,Fife,"3,498",26,363,698,971,997,384,59
2000,Glasgow City,"6,578",4,705,"1,286","1,707","1,828",924,124
2000,Highland,"2,153",0,177,390,576,627,322,61
2000,Inverclyde,863,0,95,155,229,244,122,18
2000,Midlothian,924,0,73,153,276,296,108,18
2000,Moray,912,0,65,163,296,260,104,24
2000,Na h Eileanan Siar,228,1,11,29,69,70,38,10
2000,North Ayrshire,"1,393",1,142,263,399,406,158,24
2000,North Lanarkshire,"3,832",2,350,746,"1,146","1,126",403,59
2000,Orkney Islands,152,1,6,19,52,46,22,6
2000,Perth and Kinross,"1,335",2,83,218,322,448,224,38
2000,Renfrewshire,"2,007",1,195,292,518,688,278,35
2000,Scottish Borders,"1,068",0,61,151,298,372,165,21
2000,Shetland Islands,226,1,16,34,75,55,37,8
2000,South Ayrshire,"1,050",0,77,179,304,316,149,25
2000,South Lanarkshire,"3,162",1,236,491,937,"1,015",426,56
2000,Stirling,876,1,67,111,222,292,158,25
2000,West Dunbartonshire,"1,008",0,96,175,295,297,126,19
2000,West Lothian,"1,899",0,170,316,528,623,230,32
2001,Scotland,"52,527",28,"4,444","9,121","13,763","16,206","7,701","1,264"
2001,Aberdeen City,"2,097",0,172,346,558,668,309,44
2001,Aberdeenshire,"2,247",2,77,308,693,754,361,52
2001,Angus,"1,103",0,88,205,311,330,144,25
2001,Argyll and Bute,780,0,51,111,211,262,120,25
2001,City of Edinburgh,"4,489",1,317,635,989,"1,543",849,155
2001,Clackmannanshire,529,0,52,111,152,134,71,9
2001,Dumfries and Galloway,"1,283",0,147,235,357,361,149,34
2001,Dundee City,"1,468",0,196,335,395,325,184,33
2001,East Ayrshire,"1,198",0,118,229,322,360,150,19
2001,East Dunbartonshire,983,0,36,71,232,377,236,31
2001,East Lothian,940,0,71,128,239,298,176,28
2001,East Renfrewshire,954,0,26,82,212,404,199,31
2001,Falkirk,"1,448",1,117,253,427,429,196,25
2001,Fife,"3,642",6,347,757,980,"1,047",436,69
2001,Glasgow City,"6,645",2,683,"1,360","1,633","1,864",943,160
2001,Highland,"2,131",2,181,382,573,613,309,71
2001,Inverclyde,850,1,84,157,211,259,123,15
2001,Midlothian,922,1,78,144,246,286,153,14
2001,Moray,869,0,59,147,287,247,112,17
2001,Na h Eileanan Siar,226,0,9,37,57,81,35,7
2001,North Ayrshire,"1,421",0,155,327,361,392,162,24
2001,North Lanarkshire,"3,676",0,388,717,966,"1,112",424,69
